Year,Month,ENSO_Index
2000,Nov,-0.71
2000,Dec,-0.88
2001,Jan,-0.63
2001,Feb,-0.53
2001,Mar,-0.39
2001,Apr,-0.39
2001,May,-0.24
2001,Jun,-0.11
2001,Jul,-0.01
2001,Aug,-0.1
2001,Sep,-0.28
2001,Oct,-0.18
2001,Nov,-0.41
2001,Dec,-0.46
2002,Jan,-0.05
2002,Feb,0.06
2002,Mar,0.09
2002,Apr,0.12
2002,May,0.4
2002,Jun,0.79
2002,Jul,0.77
2002,Aug,0.81
2002,Sep,1.01
2002,Oct,1.2
2002,Nov,1.41
2002,Dec,1.31
2003,Jan,0.7
2003,Feb,0.74
2003,Mar,0.45
2003,Apr,-0.05
2003,May,-0.52
2003,Jun,-0.21
2003,Jul,0.24
2003,Aug,0.2
2003,Sep,0.19
2003,Oct,0.38
2003,Nov,0.29
2003,Dec,0.38
2004,Jan,0.38
2004,Feb,0.34
2004,Mar,0.21
2004,Apr,0.16
2004,May,0.14
2004,Jun,0.2
2004,Jul,0.51
2004,Aug,0.7
2004,Sep,0.72
2004,Oct,0.68
2004,Nov,0.61
2004,Dec,0.69
2005,Jan,0.76
2005,Feb,0.46
2005,Mar,0.53
2005,Apr,0.35
2005,May,0.39
2005,Jun,0.12
2005,Jul,-0.19
2005,Aug,-0.1
2005,Sep,-0.11
2005,Oct,-0.1
2005,Nov,-0.64
2005,Dec,-0.97
2006,Jan,-0.91
2006,Feb,-0.67
2006,Mar,-0.71
2006,Apr,-0.32
2006,May,-0.09
2006,Jun,0.0
2006,Jul,0.01
2006,Aug,0.31
2006,Sep,0.6
2006,Oct,0.7
2006,Nov,0.99
2006,Dec,1.14
2007,Jan,0.7
2007,Feb,0.13
2007,Mar,-0.18
2007,Apr,-0.31
2007,May,-0.47
2007,Jun,-0.36
2007,Jul,-0.59
2007,Aug,-0.72
2007,Sep,-1.11
2007,Oct,-1.39
2007,Nov,-1.53
2007,Dec,-1.58
2008,Jan,-1.68
2008,Feb,-1.66
2008,Mar,-1.21
2008,Apr,-0.99
2008,May,-0.84
2008,Jun,-0.68
2008,Jul,-0.3
2008,Aug,-0.13
2008,Sep,-0.25
2008,Oct,-0.35
2008,Nov,-0.46
2008,Dec,-0.86
