Year,Month,IOD_Index
1937,Jun,-0.297
1937,Jul,-0.546
1937,Aug,-0.252
1937,Sep,-0.091
1937,Oct,-0.304
1937,Nov,-0.115
1937,Dec,-0.138
1938,Jan,-0.084
1938,Feb,-0.217
1938,Mar,0.009
1938,Apr,-0.345
1938,May,0.016
1938,Jun,-0.408
1938,Jul,-0.621
1938,Aug,-0.15
1938,Sep,-0.458
1938,Oct,-0.611
1938,Nov,-0.712
1938,Dec,-0.541
1939,Jan,-0.125
1939,Feb,0.209
1939,Mar,0.021
1939,Apr,-0.266
1939,May,-0.337
1939,Jun,-0.178
1939,Jul,-0.405
1939,Aug,-0.46
1939,Sep,-0.285
1939,Oct,-0.19
1939,Nov,-0.319
1939,Dec,-0.106
1940,Jan,0.08
1940,Feb,-0.224
1940,Mar,-0.477
1940,Apr,-0.492
1940,May,-0.459
1940,Jun,-0.028
1940,Jul,-0.364
1940,Aug,-0.253
1940,Sep,-0.39
1940,Oct,-0.472
1940,Nov,-0.341
1940,Dec,-0.315
1941,Jan,-0.362
1941,Feb,-0.619
1941,Mar,-0.261
1941,Apr,-0.277
1941,May,-0.269
1941,Jun,-0.376
1941,Jul,-0.429
1941,Aug,-0.419
1941,Sep,-0.333
1941,Oct,-0.189
1941,Nov,0.274
1941,Dec,-0.182
1942,Jan,-0.194
1942,Feb,-0.298
1942,Mar,-0.25
1942,Apr,-0.41
1942,May,-0.599
1942,Jun,-0.944
1942,Jul,-0.697
1942,Aug,-1.1
1942,Sep,-0.946
1942,Oct,-0.588
1942,Nov,-0.598
1942,Dec,-0.559
1943,Jan,-0.49
1943,Feb,-0.248
1943,Mar,-0.305
1943,Apr,-0.225
1943,May,-0.188
1943,Jun,0.151
1943,Jul,0.095
1943,Aug,0.035
1943,Sep,-0.648
1943,Oct,-0.536
1943,Nov,-0.388
1943,Dec,-0.386
1944,Jan,-0.154
1944,Feb,0.247
1944,Mar,-0.177
1944,Apr,-0.241
1944,May,0.283
1944,Jun,-0.114
1944,Jul,0.053
1944,Aug,0.051
1944,Sep,0.001
1944,Oct,-0.6
1944,Nov,-0.249
1944,Dec,0.179
1945,Jan,-0.14
1945,Feb,0.09
1945,Mar,0.205
1945,Apr,-0.33
1945,May,-0.572
1945,Jun,-0.563
1945,Jul,-0.524
1945,Aug,-0.656
1945,Sep,-0.594
1945,Oct,-0.513
1945,Nov,-0.324
1945,Dec,-0.328
1946,Jan,0.068
1946,Feb,-0.014
1946,Mar,-0.226
1946,Apr,-0.557
1946,May,0.297
1946,Jun,-0.33
1946,Jul,-0.159
1946,Aug,0.165
1946,Sep,-0.072
1946,Oct,-0.178
1946,Nov,-0.026
1946,Dec,-0.25
1947,Jan,-0.288
1947,Feb,0.029
1947,Mar,0.0
1947,Apr,-0.186
1947,May,0.104
1947,Jun,-0.066
1947,Jul,-0.633
1947,Aug,-0.659
1947,Sep,-0.97
1947,Oct,-0.824
1947,Nov,-0.319
1947,Dec,-0.265
1948,Jan,-0.298
1948,Feb,-0.155
1948,Mar,0.024
1948,Apr,-0.103
1948,May,-0.085
1948,Jun,0.059
1948,Jul,-0.268
1948,Aug,-0.462
1948,Sep,-0.648
1948,Oct,-0.292
1948,Nov,-0.379
1948,Dec,-0.506
1949,Jan,0.027
1949,Feb,0.177
1949,Mar,-0.121
1949,Apr,0.165
1949,May,-0.091
1949,Jun,-0.009
1949,Jul,-0.009
1949,Aug,0.011
1949,Sep,-0.09
1949,Oct,-0.124
1949,Nov,-0.396
1949,Dec,-0.331
1950,Jan,-0.044
1950,Feb,-0.554
1950,Mar,-0.692
1950,Apr,-0.475
1950,May,-0.309
1950,Jun,-0.494
1950,Jul,-0.348
1950,Aug,-0.22
1950,Sep,-0.631
1950,Oct,-0.59
1950,Nov,-0.227
1950,Dec,-0.027
1951,Jan,0.256
1951,Feb,0.211
1951,Mar,0.259
1951,Apr,-0.513
1951,May,-0.138
1951,Jun,-0.19
1951,Jul,-0.22
1951,Aug,0.124
1951,Sep,-0.005
1951,Oct,-0.168
1951,Nov,0.123
1951,Dec,-0.073
1952,Jan,-0.069
1952,Feb,0.08
1952,Mar,0.126
1952,Apr,0.073
1952,May,-0.148
1952,Jun,0.02
1952,Jul,-0.43
1952,Aug,-0.463
1952,Sep,-0.607
1952,Oct,-0.546
1952,Nov,-0.171
1952,Dec,-0.03
1953,Jan,0.304
1953,Feb,0.285
1953,Mar,0.188
1953,Apr,-0.054
1953,May,0.316
1953,Jun,-0.113
1953,Jul,-0.178
1953,Aug,-0.231
1953,Sep,-0.24
1953,Oct,-0.312
1953,Nov,-0.136
1953,Dec,-0.119
1954,Jan,-0.339
1954,Feb,-0.271
1954,Mar,-0.162
1954,Apr,-0.009
1954,May,-0.55
1954,Jun,-0.504
1954,Jul,-0.855
1954,Aug,-0.631
1954,Sep,-0.718
1954,Oct,-0.836
1954,Nov,-0.45
1954,Dec,-0.053
1955,Jan,-0.049
1955,Feb,-0.153
1955,Mar,0.019
1955,Apr,-0.044
1955,May,-0.695
1955,Jun,-0.387
1955,Jul,-0.439
1955,Aug,-0.43
1955,Sep,-0.738
1955,Oct,-0.73
1955,Nov,-0.269
1955,Dec,-0.3
1956,Jan,-0.101
1956,Feb,-0.021
1956,Mar,-0.001
