date,temperature_mean_celsius,relative_humidity_mean_percent,evapotranspiration_mm_day
2010-09-13 18:30:00,27.050253,84.5406,3.0116565
2010-09-14 18:30:00,27.700247,80.73481,3.3248076
2010-09-15 18:30:00,28.019003,78.73369,3.6208448
2010-09-16 18:30:00,28.129417,77.506485,3.8861997
2010-09-17 18:30:00,28.133583,76.14777,4.033641
2010-09-18 18:30:00,28.431498,78.73266,4.440071
2010-09-19 18:30:00,28.185663,83.18052,4.639144
2010-09-20 18:30:00,27.785667,85.499886,4.3253245
2010-09-21 18:30:00,27.72525,84.12301,4.409137
2010-09-22 18:30:00,28.11692,82.185036,4.1180625
2010-09-23 18:30:00,28.08983,83.217896,4.2883816
2010-09-24 18:30:00,27.37942,86.361,3.8194704
2010-09-25 18:30:00,27.254417,86.869965,3.3045528
2010-09-26 18:30:00,27.018997,84.20669,3.6967444
2010-09-27 18:30:00,27.346087,83.480576,4.032866
2010-09-28 18:30:00,27.364832,83.88743,3.9816742
2010-09-29 18:30:00,27.477335,84.86347,4.183945
2010-09-30 18:30:00,26.773169,87.58832,3.2196572
2010-10-01 18:30:00,26.452337,87.07205,2.6645565
2010-10-02 18:30:00,27.05858,84.176605,3.6828804
2010-10-03 18:30:00,27.366919,85.53513,3.9583497
2010-10-04 18:30:00,27.64608,86.19706,3.3734388
2010-10-05 18:30:00,27.958582,83.4558,3.342502
2010-10-06 18:30:00,28.77942,74.65063,4.5375547
2010-10-07 18:30:00,28.935667,76.883766,4.9121385
2010-10-08 18:30:00,29.421082,75.81476,4.6968894
2010-10-09 18:30:00,29.5065,73.10591,4.8680525
2010-10-10 18:30:00,28.821085,74.85458,4.452303
2010-10-11 18:30:00,28.791916,72.65075,4.2686763
2010-10-12 18:30:00,28.864836,74.851234,4.8128543
2010-10-13 18:30:00,29.273169,68.463394,5.300826
2010-10-14 18:30:00,29.05025,65.08852,4.9607153
2010-10-15 18:30:00,29.314837,63.96167,5.731076
2010-10-16 18:30:00,28.879416,67.352264,5.57435
2010-10-17 18:30:00,28.971085,74.960526,4.8889394
2010-10-18 18:30:00,28.296083,82.1233,3.740237
2010-10-19 18:30:00,27.523165,84.32221,3.9209993
2010-10-20 18:30:00,28.052332,82.97592,3.7361417
2010-10-21 18:30:00,28.577337,80.593285,4.408497
2010-10-22 18:30:00,28.39817,75.154976,4.1141315
2010-10-23 18:30:00,28.039835,77.702835,3.3994627
2010-10-24 18:30:00,27.260666,85.37457,3.6240191
2010-10-25 18:30:00,27.046087,84.661766,3.531131
2010-10-26 18:30:00,26.487753,85.93353,3.1522975
2010-10-27 18:30:00,25.783585,88.445656,2.643463
2010-10-28 18:30:00,25.191916,90.357155,2.2451482
2010-10-29 18:30:00,25.137749,91.87328,1.5009613
2010-10-30 18:30:00,25.223166,91.05536,1.910011
2010-10-31 18:30:00,25.604418,87.25233,2.9569259
2010-11-01 18:30:00,25.864832,87.09019,2.891694
2010-11-02 18:30:00,25.89608,88.88999,3.149937
2010-11-03 18:30:00,25.937752,89.99819,2.9038398
2010-11-04 18:30:00,25.906496,87.45022,3.2567627
2010-11-05 18:30:00,25.896088,85.34794,2.578283
2010-11-06 18:30:00,23.941916,89.37866,1.2309133
2010-11-07 18:30:00,26.452333,78.91595,4.308137
2010-11-08 18:30:00,26.412748,87.32238,3.193629
2010-11-09 18:30:00,25.950254,87.62032,3.203421
2010-11-10 18:30:00,25.80858,87.62417,2.96939
2010-11-11 18:30:00,26.239832,84.848404,3.9149437
2010-11-12 18:30:00,26.525253,85.31959,3.681697
2010-11-13 18:30:00,26.823166,84.42493,3.442272
2010-11-14 18:30:00,25.806501,89.121735,2.7585726
2010-11-15 18:30:00,24.616915,93.33963,0.98018783
2010-11-16 18:30:00,25.564833,89.495094,2.7363214
2010-11-17 18:30:00,25.979416,87.24182,2.9057984
2010-11-18 18:30:00,26.108582,87.273476,3.3397064
2010-11-19 18:30:00,26.046083,86.23474,3.1446617
2010-11-20 18:30:00,25.78775,88.60331,3.4057965
2010-11-21 18:30:00,26.127329,85.9936,3.4620795
2010-11-22 18:30:00,26.05025,86.74146,3.3797677
2010-11-23 18:30:00,26.689833,79.87494,3.3975651
2010-11-24 18:30:00,26.414835,77.256004,3.6738012
2010-11-25 18:30:00,24.966917,88.87592,1.3995461
2010-11-26 18:30:00,25.954414,81.071884,2.8537033
2010-11-27 18:30:00,26.135666,75.32121,3.699838
2010-11-28 18:30:00,26.433584,76.39622,4.2758613
2010-11-29 18:30:00,26.275251,82.68511,3.4023595
2010-11-30 18:30:00,24.971085,90.37729,1.6278965
2010-12-01 18:30:00,25.900253,83.980774,3.261886
2010-12-02 18:30:00,26.41067,76.47999,3.7986658
2010-12-03 18:30:00,24.925253,81.289696,2.2553217
2010-12-04 18:30:00,22.714834,86.89588,1.587385
2010-12-05 18:30:00,21.504417,84.2752,1.8584273
2010-12-06 18:30:00,23.793999,79.10757,2.3035958
2010-12-07 18:30:00,26.108582,80.27032,3.4058278
2010-12-08 18:30:00,26.002333,87.064026,3.3361933
2010-12-09 18:30:00,25.696085,88.33355,2.752307
2010-12-10 18:30:00,26.37942,83.09219,3.5661929
